der Name, die Namen	name
What's the address?	Wie ist die Adresse?
Die Adresse ist: …	The address is...
The address is...	Die Adresse ist: …
Ich wohne in der Bahnhofstraße.	I live on Bahnhofstraße.
I live on Bahnhofstraße.	Ich wohne in der Bahnhofstraße.
Ich wohne bei Freunden.	I live with friends.
I live with friends.	Ich wohne bei Freunden.
Wer ist das?	Who is that?
Who is that?	Wer ist das?
die Familie, die Familien	family
family	die Familie, die Familien
Das ist meine Familie.	That's my family.
That's my family.	Das ist meine Familie.
"die Eltern (Plural)
nur Plural"	parents
parents	"die Eltern (Plural)
nur Plural"
die Mutter, die Mütter	mother
mother	die Mutter, die Mütter
der Vater, die Väter	father
father	der Vater, die Väter
das Kind, die Kinder	child
child	das Kind, die Kinder
Ich habe keine Kinder.	I don't have any children.
I don't have any children.	Ich habe keine Kinder.
die Tochter, die Töchter	daughter
daughter	die Tochter, die Töchter
der Sohn, die Söhne	son
son	der Sohn, die Söhne
Ich habe zwei Söhne.	I have two sons.
I have two sons.	Ich habe zwei Söhne.
die Schwester, die Schwestern	sister
sister	die Schwester, die Schwestern
der Bruder, die Brüder	brother
brother	der Bruder, die Brüder
die Großmutter, die Großmütter	grandmother
grandmother	die Großmutter, die Großmütter
der Großvater, die Großväter	grandfather
grandfather	der Großvater, die Großväter
die Ehefrau, die Ehefrauen	wife
wife	die Ehefrau, die Ehefrauen
der Ehemann, die Ehemänner	husband
husband	der Ehemann, die Ehemänner
Ich bin verheiratet.	I'm married.
I'm married.	Ich bin verheiratet.
Ich bin ledig.	I'm single.
I'm single.	Ich bin ledig.
Ich möchte Asyl beantragen.	I would like to apply for asylum.
I would like to apply for asylum.	Ich möchte Asyl beantragen.
der Flüchtling, die Flüchtlinge	refugee
refugee	der Flüchtling, die Flüchtlinge
befristet	temporary
temporary	befristet
"der befristete Aufenthalt
nur Singular"	temporary residence
temporary residence	"der befristete Aufenthalt
nur Singular"
unbefristet	permanent
permanent	unbefristet
"die Duldung, die Duldungen
Plural selten"	temporary suspension of deportation
temporary suspension of deportation	"die Duldung, die Duldungen
Plural selten"
"die Aufenthaltserlaubnis, die Aufenthaltserlaubnisse
Plural selten"	residence permit
residence permit	"die Aufenthaltserlaubnis, die Aufenthaltserlaubnisse
Plural selten"
Ich habe eine Aufenthaltserlaubnis.	I have a residence permit.
I have a residence permit.	Ich habe eine Aufenthaltserlaubnis.
Meine Aufenthaltserlaubnis ist abgelaufen.	My residence permit is expired.
My residence permit is expired.	Meine Aufenthaltserlaubnis ist abgelaufen.
Ich möchte sie verlängern.	I would like to extend it.
I would like to extend it.	Ich möchte sie verlängern.
die Arbeitserlaubnis, die Arbeitserlaubnisse	work permit
work permit	die Arbeitserlaubnis, die Arbeitserlaubnisse
die Unterschrift, die Unterschriften	signature
signature	die Unterschrift, die Unterschriften
das Formular, die Formulare	form
form	das Formular, die Formulare
das Dokument, die Dokumente	documents
documents	das Dokument, die Dokumente
"der Pass, die Pässe
Kurzform von: Reisepass"	passport
passport	"der Pass, die Pässe
Kurzform von: Reisepass"
das Visum, die Visa	visa
visa	das Visum, die Visa
die Staatsbürgerschaft, die Staatsbürgerschaften	citizenship
citizenship	die Staatsbürgerschaft, die Staatsbürgerschaften
Entschuldigung, kannst du mir helfen?	Excuse me, can you help me? (informal)
Excuse me, can you help me? (informal)	Entschuldigung, kannst du mir helfen?
Entschuldigung, können Sie mir helfen?	"Excuse me, can you help me? (formal)
 "
"Excuse me, can you help me? (formal)
 "	Entschuldigung, können Sie mir helfen?
Ja, natürlich.	Yes, of course.
Yes, of course.	Ja, natürlich.
Vielen Dank.	Thank you very much.
Thank you very much.	Vielen Dank.
Ich habe eine Frage.	I have a question.
I have a question.	Ich habe eine Frage.
Wissen Sie, wo das ist?	Do you know where it is? (formal)
Do you know where it is? (formal)	Wissen Sie, wo das ist?
Leider nicht.	Unfortunately not.
Unfortunately not.	Leider nicht.
Ich spreche kein Deutsch.	I don’t speak German.
I don’t speak German.	Ich spreche kein Deutsch.
Ich verstehe das nicht.	I don't understand that.
I don't understand that.	Ich verstehe das nicht.
Was bedeutet das?	What does that mean?
What does that mean?	Was bedeutet das?
Wie bitte?	I beg your pardon?
I beg your pardon?	Wie bitte?
Können Sie das wiederholen bitte?	Could you please repeat that? (formal)
Could you please repeat that? (formal)	Können Sie das wiederholen bitte?
Können Sie bitte langsamer sprechen?	Could you please speak more slowly? (formal)
Could you please speak more slowly? (formal)	Können Sie bitte langsamer sprechen?
Entschuldigung, sprechen Sie Englisch?	Excuse me, do you speak English? (formal)
Excuse me, do you speak English? (formal)	Entschuldigung, sprechen Sie Englisch?
Entschuldigung, wo ist die Information?	Excuse me, where is the information desk?
Excuse me, where is the information desk?	Entschuldigung, wo ist die Information?
"die deutsche Sprache
nur Singular"	German language
German language	"die deutsche Sprache
nur Singular"
"die Grammatik, die Grammatiken
Plural selten"	grammar
grammar	"die Grammatik, die Grammatiken
Plural selten"
die Vokabel, die Vokabeln	vocabulary
vocabulary	die Vokabel, die Vokabeln
der Deutschkurs, die Deutschkurse	German course
German course	der Deutschkurs, die Deutschkurse
Ich möchte mich für einen Kurs anmelden.	I would like to sign up for a course.
I would like to sign up for a course.	Ich möchte mich für einen Kurs anmelden.
Ich möchte Deutsch lernen.	I would like to learn German.
I would like to learn German.	Ich möchte Deutsch lernen.
Ich spreche ein bisschen Deutsch.	I can speak some German.
I can speak some German.	Ich spreche ein bisschen Deutsch.
Ich spreche kein Deutsch.	I don't speak German.
I don't speak German.	Ich spreche kein Deutsch.
die Niveaustufe, die Niveaustufen	level
level	die Niveaustufe, die Niveaustufen
Ich lerne Deutsch.	I'm learning German.
I'm learning German.	Ich lerne Deutsch.
der Lehrer, die Lehrer	teacher (male)
teacher (male)	der Lehrer, die Lehrer
die Lehrerin, die Lehrerinnen	teacher (female)
teacher (female)	die Lehrerin, die Lehrerinnen
die Prüfung, die Prüfungen	test
test	die Prüfung, die Prüfungen
die Fremdsprache, die Fremdsprachen	foreign language
foreign language	die Fremdsprache, die Fremdsprachen
Ich spreche Englisch.	I speak English.
I speak English.	Ich spreche Englisch.
Ich spreche Arabisch.	I speak Arabic.
I speak Arabic.	Ich spreche Arabisch.
der Beruf, die Berufe	occupation
occupation	der Beruf, die Berufe
Was machst du beruflich?	What's your job? (informal)
What's your job? (informal)	Was machst du beruflich?
Was machen Sie beruflich?	What do you do for a living? (formal)
What do you do for a living? (formal)	Was machen Sie beruflich?
Was bist du von Beruf?	What do you do? (informal)
What do you do? (informal)	Was bist du von Beruf?
Was sind Sie von Beruf?	What's your profession? (formal)
What's your profession? (formal)	Was sind Sie von Beruf?
Ich bin Bauarbeiter.	I'm a construction worker.
I'm a construction worker.	Ich bin Bauarbeiter.
Ich bin Polizistin.	I'm a policewoman.
I'm a policewoman.	Ich bin Polizistin.
Ich bin arbeitslos.	I'm unemployed.
I'm unemployed.	Ich bin arbeitslos.
Ich studiere.	I am a university student.
I am a university student.	Ich studiere.
Ich mache eine Ausbildung.	I do vocational training.
I do vocational training.	Ich mache eine Ausbildung.
"arbeiten
arbeitet, arbeitete, hat gearbeitet"	to work
to work	"arbeiten
arbeitet, arbeitete, hat gearbeitet"
"die Arbeit
hier nur Singular"	job
job	"die Arbeit
hier nur Singular"
Ich suche Arbeit.	I'm looking for a job.
I'm looking for a job.	Ich suche Arbeit.
der Arzt, die Ärzte	doctor (male)
doctor (male)	der Arzt, die Ärzte
die Ärztin, die Ärztinnen	doctor (female)
doctor (female)	die Ärztin, die Ärztinnen
Ich bin Ärztin.	I'm a doctor.
I'm a doctor.	Ich bin Ärztin.
der Lehrer, die Lehrer	teacher (male)
teacher (male)	der Lehrer, die Lehrer
die Lehrerin, die Lehrerinnen	teacher (female)
teacher (female)	die Lehrerin, die Lehrerinnen
Ich möchte Lehrer werden.	I want to be a teacher.
I want to be a teacher.	Ich möchte Lehrer werden.
der Erzieher, die Erzieher	pre-school/day care teacher (male)
pre-school/day care teacher (male)	der Erzieher, die Erzieher
die Erzieherin, die Erzieherinnen	pre-school/day care teacher (female)
pre-school/day care teacher (female)	die Erzieherin, die Erzieherinnen
der Krankenpfleger, die Krankenpfleger	nurse (male)
nurse (male)	der Krankenpfleger, die Krankenpfleger
die Krankenschwester, die Krankenschwestern	nurse (female)
nurse (female)	die Krankenschwester, die Krankenschwestern
der Journalist, die Journalisten	journalist (male)
journalist (male)	der Journalist, die Journalisten
die Journalistin, die Journalistinnen	journalist (female)
journalist (female)	die Journalistin, die Journalistinnen
der Ingenieur, die Ingenieure	engineer (male)
engineer (male)	der Ingenieur, die Ingenieure
die Ingenieurin, die Ingenieurinnen	engineer (female)
engineer (female)	die Ingenieurin, die Ingenieurinnen
der Computerspezialist, die Computerspezialisten	computer specialist (male)
computer specialist (male)	der Computerspezialist, die Computerspezialisten
die Computerspezialistin, die Computerspezialistinnen	computer specialist
computer specialist	die Computerspezialistin, die Computerspezialistinnen
der Architekt, die Architekten	architect (male)
architect (male)	der Architekt, die Architekten
die Architektin, die Architektinnen	architect (female)
architect (female)	die Architektin, die Architektinnen
der Taxifahrer, die Taxifahrer	taxi driver (male)
taxi driver (male)	der Taxifahrer, die Taxifahrer
die Taxifahrerin, die Taxifahrerinnen	taxi driver (female)
taxi driver (female)	die Taxifahrerin, die Taxifahrerinnen
die Busfahrerin, die Busfahrerinnen	bus driver (female)
bus driver (female)	die Busfahrerin, die Busfahrerinnen
der Busfahrer, die Busfahrer	bus driver (male)
bus driver (male)	der Busfahrer, die Busfahrer
der Friseur, die Friseure	hairdresser/hairstylist (male)
hairdresser/hairstylist (male)	der Friseur, die Friseure
die Friseurin, die Friseurinnen	hairdresser/hairstylist (female)
hairdresser/hairstylist (female)	die Friseurin, die Friseurinnen
der Koch, die Köche	cook (male)
cook (male)	der Koch, die Köche
die Köchin, die Köchinnen	cook (female)
cook (female)	die Köchin, die Köchinnen
der Verkäufer, die Verkäufer	salesman (male)
salesman (male)	der Verkäufer, die Verkäufer
die Verkäuferin, die Verkäuferinnen	saleswoman (female)
saleswoman (female)	die Verkäuferin, die Verkäuferinnen
der Kfz-Mechatroniker, die Kfz-Mechatroniker	mechatronics engineer (male)
mechatronics engineer (male)	der Kfz-Mechatroniker, die Kfz-Mechatroniker
die Kfz-Mechatronikerin, die Kfz-Mechatronikerinnen	mechatronics engineer (female)
mechatronics engineer (female)	die Kfz-Mechatronikerin, die Kfz-Mechatronikerinnen
der Handwerker, die Handwerker	handyman / craftsman (male)
handyman / craftsman (male)	der Handwerker, die Handwerker
die Handwerkerin, die Handwerkerinnen	craftswoman (female)
craftswoman (female)	die Handwerkerin, die Handwerkerinnen
die Telefonnummer, die Telefonnummern	phone number
phone number	die Telefonnummer, die Telefonnummern
Wie ist deine Telefonnummer?	What's your phone number? (informal)
What's your phone number? (informal)	Wie ist deine Telefonnummer?
Wie ist Ihre Telefonnummer?	What's your phone number? (formal)
What's your phone number? (formal)	Wie ist Ihre Telefonnummer?
Meine Telefonnummer ist 0735455577.	My phone number is 0735455577. 
My phone number is 0735455577. 	Meine Telefonnummer ist 0735455577.
die E-Mail-Adresse, die E-Mail-Adressen	email address
email address	die E-Mail-Adresse, die E-Mail-Adressen
Kannst du mir deine E-Mail-Adresse geben?	Can you give me your email address? (informal)
Can you give me your email address? (informal)	Kannst du mir deine E-Mail-Adresse geben?
Wie ist Ihre E-Mail-Adresse?	What's your email address? (formal)
What's your email address? (formal)	Wie ist Ihre E-Mail-Adresse?
Meine E-Mail-Adresse ist hallo@dw.com.	My email address is hallo@dw.com.
My email address is hallo@dw.com.	Meine E-Mail-Adresse ist hallo@dw.com.
"jemanden an|rufen
ruft an, rief an, hat angerufen"	to call
to call	"jemanden an|rufen
ruft an, rief an, hat angerufen"
Kann ich dich anrufen?	Can I call you? (informal)
Can I call you? (informal)	Kann ich dich anrufen?
Kann ich Sie anrufen?	Can I call you? (formal)
Can I call you? (formal)	Kann ich Sie anrufen?
das Handy, die Handys	cell phone
cell phone	das Handy, die Handys
die Handy-Nummer, die Handy-Nummern	cell phone number
cell phone number	die Handy-Nummer, die Handy-Nummern
Ich habe kein Handy.	I don't have a cell phone.
I don't have a cell phone.	Ich habe kein Handy.
Ich habe keine E-Mail-Adresse.	I don't have an email address. 
I don't have an email address. 	Ich habe keine E-Mail-Adresse.
Bist du auf Facebook?	"Are you on Facebook? 
(informal)"
"Are you on Facebook? 
(informal)"	Bist du auf Facebook?
Hast du WhatsApp?	Are you on WhatsApp? (informal)
Are you on WhatsApp? (informal)	Hast du WhatsApp?
die Zahl, die Zahlen	number
number	die Zahl, die Zahlen
null	zero
zero	null
eins	one
one	eins
zwei	two
two	zwei
drei	three
three	drei
vier	four
four	vier
fünf	five
five	fünf
sechs	six
six	sechs
sieben	seven
seven	sieben
acht	eight
eight	acht
neun	nine
nine	neun
zehn	ten
ten	zehn
elf	eleven
eleven	elf
zwölf	twelve
twelve	zwölf
dreizehn	thirteen
thirteen	dreizehn
vierzehn	fourteen
fourteen	vierzehn
fünfzehn	fifteen
fifteen	fünfzehn
sechzehn	sixteen
sixteen	sechzehn
siebzehn	seventeen
seventeen	siebzehn
achtzehn	eighteen
eighteen	achtzehn
neunzehn	nineteen
nineteen	neunzehn
zwanzig	twenty
twenty	zwanzig
das Jahr, die Jahre	year
year	das Jahr, die Jahre
der Monat, die Monate	month
month	der Monat, die Monate
"der Januar
nur Singular"	January
January	"der Januar
nur Singular"
Es ist Januar.	It's January.
It's January.	Es ist Januar.
im Januar	in January
in January	im Januar
"der Februar
nur Singular"	February
February	"der Februar
nur Singular"
"der März
nur Singular"	March
March	"der März
nur Singular"
"der April
nur Singular"	April
April	"der April
nur Singular"
"der Mai
nur Singular"	May
May	"der Mai
nur Singular"
"der Juni
nur Singular"	June
June	"der Juni
nur Singular"
"der Juli
nur Singular"	July
July	"der Juli
nur Singular"
"der August
nur Singular"	August
August	"der August
nur Singular"
"der September
nur Singular"	September
September	"der September
nur Singular"
"der Oktober
nur Singular"	October
October	"der Oktober
nur Singular"
"der November
nur Singular"	November
November	"der November
nur Singular"
"der Dezember
nur Singular"	December
December	"der Dezember
nur Singular"
"der Frühling, die Frühlinge
Plural selten"	spring
spring	"der Frühling, die Frühlinge
Plural selten"
der Sommer, die Sommer	summer
summer	der Sommer, die Sommer
"der Herbst, die Herbste
Plural selten"	autumn
autumn	"der Herbst, die Herbste
Plural selten"
der Winter, die Winter	winter
winter	der Winter, die Winter
der Tag, die Tage	day
day	der Tag, die Tage
der Montag, die Montage	Monday
Monday	der Montag, die Montage
am Montag	on Monday
on Monday	am Montag
der Dienstag, die Dienstage	Tuesday
Tuesday	der Dienstag, die Dienstage
der Mittwoch, die Mittwoche	Wednesday
Wednesday	der Mittwoch, die Mittwoche
der Donnerstag, die Donnerstage	Thursday
Thursday	der Donnerstag, die Donnerstage
der Freitag, die Freitage	Friday
Friday	der Freitag, die Freitage
der Samstag, die Samstage	Saturday
Saturday	der Samstag, die Samstage
der Sonntag, die Sonntage	Sunday
Sunday	der Sonntag, die Sonntage
die Woche, die Wochen	week
week	die Woche, die Wochen
diese Woche	this week
this week	diese Woche
nächste Woche	next week
next week	nächste Woche
das Wochenende, die Wochenenden	weekend
weekend	das Wochenende, die Wochenenden
am Wochenende	on the weekend
on the weekend	am Wochenende
heute	today
today	heute
gestern	yesterday
yesterday	gestern
vorgestern	the day before yesterday
the day before yesterday	vorgestern
morgen	tomorrow
tomorrow	morgen
übermorgen	the day after tomorrow
the day after tomorrow	übermorgen
die Uhr, die Uhren	clock
clock	die Uhr, die Uhren
Entschuldigung, wie viel Uhr ist es?	Excuse me, what time is it?
Excuse me, what time is it?	Entschuldigung, wie viel Uhr ist es?
Entschuldigung, wie spät ist es?	Excuse me, what time is it?
Excuse me, what time is it?	Entschuldigung, wie spät ist es?
Es ist zwei Uhr.	It's two in the afternoon.
It's two in the afternoon.	Es ist zwei Uhr.
Es ist 14 Uhr.	It's two in the afternoon.
It's two in the afternoon.	Es ist 14 Uhr.
Es ist Viertel nach acht.	It's quarter past eight.
It's quarter past eight.	Es ist Viertel nach acht.
Es ist halb drei.	It's half past two.
It's half past two.	Es ist halb drei.
Es ist Viertel vor zwölf.	It’s quarter to twelve.
It’s quarter to twelve.	Es ist Viertel vor zwölf.
Es ist zwanzig vor zehn.	It's twenty to ten.
It's twenty to ten.	Es ist zwanzig vor zehn.
Es ist zehn nach sieben.	It's ten past seven.
It's ten past seven.	Es ist zehn nach sieben.
Wir treffen uns um 15 Uhr.	We're meeting at 3:00 p.m.
We're meeting at 3:00 p.m.	Wir treffen uns um 15 Uhr.
die Stunde, die Stunden	hour
hour	die Stunde, die Stunden
Das dauert eine halbe Stunde.	It takes half an hour. 
It takes half an hour. 	Das dauert eine halbe Stunde.
die Minute, die Minuten	minute
minute	die Minute, die Minuten
Es dauert fünf Minuten.	It takes 5 minutes.
It takes 5 minutes.	Es dauert fünf Minuten.
Das geht von zwei bis drei Uhr.	It runs from 2:00 p.m. to 3:00 p.m. 
It runs from 2:00 p.m. to 3:00 p.m. 	Das geht von zwei bis drei Uhr.
morgens	in the morning
in the morning	morgens
Ich stehe um acht Uhr auf.	I get up at 8:00 a.m.
I get up at 8:00 a.m.	Ich stehe um acht Uhr auf.
"frühstücken
frühstückt, frühstückte, hat gefrühstückt"	to have breakfast
to have breakfast	"frühstücken
frühstückt, frühstückte, hat gefrühstückt"
Ich putze mir die Zähne.	I brush my teeth. 
I brush my teeth. 	Ich putze mir die Zähne.
Ich dusche täglich.	I shower every day. 
I shower every day. 	Ich dusche täglich.
Ich wasche mir die Haare.	I wash my hair.
I wash my hair.	Ich wasche mir die Haare.
Ich ziehe mich an.	I get dressed.
I get dressed.	Ich ziehe mich an.
Um neun Uhr fahre ich zur Arbeit.	I go to work at nine o'clock.
I go to work at nine o'clock.	Um neun Uhr fahre ich zur Arbeit.
mittags	at noon
at noon	mittags
die Mittagspause, die Mittagspausen	lunch break
lunch break	die Mittagspause, die Mittagspausen
Um eins esse ich zu Mittag.	I have lunch at one p.m.
I have lunch at one p.m.	Um eins esse ich zu Mittag.
abends	in the evening
in the evening	abends
Ich mache um 18:30 Uhr Feierabend.	I finish work at 6:30 p.m. 
I finish work at 6:30 p.m. 	Ich mache um 18:30 Uhr Feierabend.
Ich gehe nach Hause.	I go home.
I go home.	Ich gehe nach Hause.
nachts	at night
at night	nachts
Ich gehe um 22 Uhr ins Bett.	I go to sleep at 10:00 p.m.
I go to sleep at 10:00 p.m.	Ich gehe um 22 Uhr ins Bett.
der Termin, die Termine	appointment
appointment	der Termin, die Termine
Ich hatte einen Termin.	I had an appointment.
I had an appointment.	Ich hatte einen Termin.
Ich muss den Termin leider absagen.	I unfortunately have to cancel the appointment.
I unfortunately have to cancel the appointment.	Ich muss den Termin leider absagen.
Ich kann leider nicht kommen.	Unfortunately, I can't come. 
Unfortunately, I can't come. 	Ich kann leider nicht kommen.
Ich schaffe es leider nicht.	Unfortunately, I can't make it.
Unfortunately, I can't make it.	Ich schaffe es leider nicht.
Mir ist etwas dazwischengekommen.	Something came up.
Something came up.	Mir ist etwas dazwischengekommen.
Ich bin krank.	I'm sick.
I'm sick.	Ich bin krank.
Ich habe einen wichtigen Termin.	I have an important appointment.
I have an important appointment.	Ich habe einen wichtigen Termin.
Ich habe den Bus verpasst.	I missed the bus. 
I missed the bus. 	Ich habe den Bus verpasst.
Ich komme etwas später.	I'm coming a bit later.
I'm coming a bit later.	Ich komme etwas später.
Es tut mir leid.	I'm sorry.
I'm sorry.	Es tut mir leid.
Können wir das verschieben?	Can we change our plans?
Can we change our plans?	Können wir das verschieben?
Das ist schade.	That's too bad.
That's too bad.	Das ist schade.
Das macht nichts.	It doesn't matter.
It doesn't matter.	Das macht nichts.
Wir machen einen neuen Termin.	We'll arrange a new appointment.
We'll arrange a new appointment.	Wir machen einen neuen Termin.
"der Nahverkehr
nur Singular"	public transportation
public transportation	"der Nahverkehr
nur Singular"
der Bus, die Busse	bus
bus	der Bus, die Busse
Ich fahre mit dem Bus.	I take the bus.
I take the bus.	Ich fahre mit dem Bus.
die U-Bahn, die U-Bahnen	subway/metro
subway/metro	die U-Bahn, die U-Bahnen
Ich nehme die U-Bahn.	I take the subway.
I take the subway.	Ich nehme die U-Bahn.
die Straßenbahn, die Straßenbahnen	tram
tram	die Straßenbahn, die Straßenbahnen
Die Straßenbahn fährt zum Hauptbahnhof.	The tram goes to the main train station.
The tram goes to the main train station.	Die Straßenbahn fährt zum Hauptbahnhof.
die Haltestelle, die Haltestellen	stop
stop	die Haltestelle, die Haltestellen
Sie müssen hier einsteigen.	You have to get in here. (formal)
You have to get in here. (formal)	Sie müssen hier einsteigen.
Sie müssen hier aussteigen.	You have to get out here. (formal)
You have to get out here. (formal)	Sie müssen hier aussteigen.
Sie müssen hier umsteigen.	You have to switch here. (formal)
You have to switch here. (formal)	Sie müssen hier umsteigen.
"das Fahrrad, die Fahrräder
Kurzform: das Rad, die Räder"	bike
